CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1150	61.73461111	781.0116496	14.61627604	5.744518735	TL	Other	D-	G+	R-	ABX+
CI1150	61.98213461	820.0622321	13.31557572	4.443818413	TL	Other	D-	G+	R-	ABX+
CI1150	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1150	66.21253625	878.6381058	13.61375077	4.741993468	TL	Other	D-	G+	R-	ABX+
CI1150	63.56853522	898.163397	12.59290678	3.721149474	TL	Other	D-	G+	R-	ABX+
CI1150	58.35929066	839.5875233	13.5829169	4.711159596	TL	Other	D-	G+	R-	ABX+
CI1150	66.00439149	1034.840436	11.59172248	2.719965182	TL	Other	D-	G+	R-	ABX+
CI1150	65.46996575	976.264562	12.02761184	3.155854536	TL	Other	D-	G+	R-	ABX+
CI1150	65.33495293	956.7392707	12.07900062	3.207243321	TL	Other	D-	G+	R-	ABX+
CI1150	63.50665435	761.4863583	14.81749313	5.945735824	TL	Other	D-	G+	R-	ABX+
CI1150	52.05869247	722.4357759	13.45200417	4.580246865	TL	Other	D-	G+	R-	ABX+
CI1150	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1150	51.16985809	605.2840284	16.10085164	7.229094343	TL	Other	D-	G+	R-	ABX+
CI1150	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1150	49.09966154	683.3851934	13.58988465	4.718127349	TL	Other	D-	G+	R-	ABX+
CI1150	76.79979141	624.8093197	18.40052836	9.528771063	TL	Other	D-	G+	R-	ABX+
CI1150	70.22354205	878.6381058	13.07431546	4.202558159	TL	Other	D-	G+	R-	ABX+
CI1150	43.14784648	0	34.61760277	25.74584547	TL	Other	D-	G+	R-	ABX+
CI1150	42.20838228	624.8093197	13.5238811	4.652123799	TL	Other	D-	G+	R-	ABX+
CI1150	41.57832246	605.2840284	14.32542009	5.45366279	TL	Other	D-	G+	R-	ABX+
CI1150	46.15188168	663.8599021	13.16528684	4.293529538	TL	Other	D-	G+	R-	ABX+
CI1150	41.85397363	507.6575722	16.53293189	7.661174584	TL	Other	D-	G+	R-	ABX+
CI1150	39.31685776	468.6069898	17.23236704	8.360609736	TL	Other	D-	G+	R-	ABX+
CI1150	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1150	70.23479312	214.7782036	24.20887838	15.33712108	TL	Other	D-	G+	R-	ABX+
CI1150	69.54847796	976.264562	12.39168054	3.519923242	TL	Other	D-	G+	R-	ABX+
CI1150	NA	NA	NA	NA	TL	Other	D-	G+	R-	ABX+
CI1280	14.39274709	222.5609922	22.23441901	12.52095034	TL	Prothesis	D-	G-	R-	ABX-
CI1280	34.03193904	465.3548019	16.04389869	6.330430014	TL	Prothesis	D-	G-	R-	ABX-
CI1280	37.08653583	566.5188893	10.64818933	0.93472066	TL	Prothesis	D-	G-	R-	ABX-
CI1280	39.68644073	NA	9.749257816	0.035789142	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.28795641	647.4501592	13.23386512	3.520396449	TL	Prothesis	D-	G-	R-	ABX-
CI1280	36.11302884	364.1907146	19.75662317	10.0431545	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.39606078	748.6142466	9.051109504	-0.66235917	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.88094272	606.9845243	13.05282951	3.339360836	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.70132105	809.312699	8.411968943	-1.301499731	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.85658205	748.6142466	8.634417418	-1.079051256	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.08444956	728.3814291	8.972129197	-0.741339477	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.66051536	789.0798815	9.530357304	-0.18311137	TL	Prothesis	D-	G-	R-	ABX-
CI1280	44.14591887	667.6829767	11.6232599	1.909791224	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.49516029	789.0798815	9.077225076	-0.636243598	TL	Prothesis	D-	G-	R-	ABX-
CI1280	40.69492402	586.7517068	12.8748671	3.161398424	TL	Prothesis	D-	G-	R-	ABX-
CI1280	32.16070704	424.889167	17.19520522	7.481736548	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.25563402	789.0798815	8.57390439	-1.139564284	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.85975753	789.0798815	9.409891175	-0.303577499	TL	Prothesis	D-	G-	R-	ABX-
CI1280	43.00335976	728.3814291	8.575610755	-1.137857919	TL	Prothesis	D-	G-	R-	ABX-
CI1280	43.77866773	667.6829767	10.79704135	1.083572677	TL	Prothesis	D-	G-	R-	ABX-
CI1280	44.71719842	748.6142466	8.664269831	-1.049198843	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.62606063	768.8470641	10.09925914	0.38579047	TL	Prothesis	D-	G-	R-	ABX-
CI1280	43.07331236	708.1486116	8.749868797	-0.963599877	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.46231633	789.0798815	8.776953118	-0.936515556	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.30226908	809.312699	9.261680008	-0.451788666	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.53492284	809.312699	9.163699836	-0.549768838	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.15918841	748.6142466	11.19998188	1.486513208	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.76596583	789.0798815	8.858243496	-0.855225178	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.32132193	708.1486116	10.59177418	0.878305505	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.55928351	768.8470641	10.44283801	0.729369339	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.1803736	748.6142466	9.344792629	-0.368676045	TL	Prothesis	D-	G-	R-	ABX-
CI1280	44.99117943	748.6142466	8.836652053	-0.876816621	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.68117899	829.5455165	8.638679664	-1.07478901	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.0865819	789.0798815	9.48231469	-0.231153984	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.28264859	708.1486116	9.992312119	0.278843445	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.42999394	768.8470641	10.07023626	0.356767585	TL	Prothesis	D-	G-	R-	ABX-
CI1280	39.91378668	NA	9.833447331	0.119978657	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.07065845	687.9157942	12.72852716	3.01505849	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.02672337	870.0111514	8.759777069	-0.953691605	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.49094168	485.5876194	18.54125973	8.827791058	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.44113114	849.778334	8.850464711	-0.863003963	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.68487603	647.4501592	13.82503261	4.111563933	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.54340613	829.5455165	8.943653081	-0.769815593	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.50207888	849.778334	10.1074069	0.393938228	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.10672396	667.6829767	14.2509434	4.537474727	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.91435432	809.312699	9.675995774	-0.0374729	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.697624	870.0111514	8.464835606	-1.248633068	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.20686661	789.0798815	9.559632135	-0.153836539	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.96312172	768.8470641	12.01558753	2.302118852	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.38814513	789.0798815	12.13595361	2.422484939	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.81473323	849.778334	9.411928478	-0.301540196	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.9662972	849.778334	9.194644921	-0.518823753	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.76387956	930.7096039	9.187620797	-0.525847877	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.6388086	910.4767864	8.589702394	-1.12376628	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.44696053	728.3814291	13.42041205	3.706943375	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.64515955	870.0111514	9.773108981	0.059640307	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.16345309	870.0111514	10.12715635	0.413687676	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.92496995	910.4767864	8.945729766	-0.767738908	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.64515955	870.0111514	9.273108981	-0.440359693	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.97108345	910.4767864	9.065335512	-0.648133162	TL	Prothesis	D-	G-	R-	ABX-
