CI Identifier	Appearance_time	Growth-rate	Radius	Imaging_method
CI1373	9.286064778	67.82413688	983.5452273	TL
CI1373	10.81250861	42.81064394	749.3677922	TL
CI1373	10.9424609	41.91706314	725.9500487	TL
CI1373	10.62218326	44.46241452	772.7855358	TL
CI1373	10.94264586	41.36872946	725.9500487	TL
CI1373	10.60350612	44.1577847	772.7855358	TL
CI1373	10.51732347	46.12095464	796.2032793	TL
CI1373	10.7625494	43.42667313	749.3677922	TL
CI1373	10.77367578	43.65006833	749.3677922	TL
CI1373	10.5180529	45.44399949	772.7855358	TL
CI1373	10.58285211	44.27286707	772.7855358	TL
CI1373	10.45607159	44.46241452	772.7855358	TL
CI1373	10.47871718	44.92274402	796.2032793	TL
CI1373	10.35241472	45.12583057	796.2032793	TL
CI1373	10.35158075	44.79412254	772.7855358	TL
CI1373	11.20584445	45.59969918	749.3677922	TL
CI1373	10.95232525	43.00696094	749.3677922	TL
CI1373	10.59219359	43.60268147	749.3677922	TL
CI1373	10.43106055	43.07465645	749.3677922	TL
CI1373	12.6695723	50.52116315	702.5323052	TL
CI1373	11.08857827	42.92572632	725.9500487	TL
CI1373	10.62684257	43.7380725	772.7855358	TL
CI1373	10.29214681	44.70611837	772.7855358	TL
CI1373	10.28889155	45.44399949	796.2032793	TL
CI1373	10.60756411	43.65006833	749.3677922	TL
CI1373	10.76362358	43.10850421	749.3677922	TL
CI1373	10.93079607	43.33866896	749.3677922	TL
CI1373	10.44294104	43.99531546	749.3677922	TL
CI1373	10.58979417	43.84638533	772.7855358	TL
CI1373	10.3874594	45.05813505	772.7855358	TL
CI1373	10.95472998	43.91408084	749.3677922	TL
CI1373	10.17788499	45.14613922	796.2032793	TL
CI1373	10.4218433	46.40527581	796.2032793	TL
CI1373	10.48529384	45.43722994	772.7855358	TL
CI1373	10.29214681	44.70611837	796.2032793	TL
CI1373	10.4680713	45.03105685	796.2032793	TL
CI1373	10.30195963	45.03105685	772.7855358	TL
CI1373	10.32484292	44.8415094	796.2032793	TL
CI1373	10.62601922	44.1713238	749.3677922	TL
CI1373	11.13271861	42.58724874	725.9500487	TL
CI1373	10.34832235	45.83663348	796.2032793	TL
CI1373	8.854287421	44.90920492	796.2032793	TL
CI1373	10.62437014	44.70611837	772.7855358	TL
CI1373	10.06804569	45.41015173	796.2032793	TL
CI1373	10.93579375	42.18107565	725.9500487	TL
CI1373	10.560184	43.06111735	725.9500487	TL
CI1373	10.72253325	44.21871066	749.3677922	TL
CI1373	10.28530336	43.37928627	749.3677922	TL
CI1373	10.75416389	46.95360948	796.2032793	TL
CI1373	10.59253448	44.48272317	772.7855358	TL
CI1373	10.59775024	43.98854591	749.3677922	TL
CI1373	10.61933504	43.92761995	749.3677922	TL
CI1373	10.78411932	43.42667313	749.3677922	TL
CI1373	10.6514055	45.43722994	772.7855358	TL
CI1373	10.53404153	44.85504851	772.7855358	TL
CI1373	10.58782279	43.61622057	749.3677922	TL
CI1373	10.75830526	43.60268147	749.3677922	TL
CI1373	10.30237533	45.14613922	772.7855358	TL
CI1373	10.90800613	43.10850421	749.3677922	TL
CI1373	11.10738771	43.99531546	749.3677922	TL
CI1373	10.83090106	40.09605377	679.1145617	TL
CI1373	10.77459861	44.13747604	749.3677922	TL
CI1373	10.73241077	41.81551986	725.9500487	TL
CI1373	10.39615125	42.97311318	749.3677922	TL
CI1373	10.76255137	42.87833946	749.3677922	TL
CI1373	10.9224666	42.92572632	725.9500487	TL
CI1373	10.95023099	43.42667313	725.9500487	TL
CI1373	10.63925324	47.52225181	819.6210228	TL
CI1373	10.37143677	41.42965543	749.3677922	TL
CI1373	11.17995828	42.29615802	702.5323052	TL
